
=== OneRoom  lagrange_mult=0.001  (20260802_232246) ===
=== HardMaze  lagrange_mult=0.001  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.0960          6    
  5000-10000    0.0902          5    
 10000-15000    0.0889          5    
 15000-20000    0.0881          5    
 20000-25000    0.0866          5    
 25000-30000    0.0846          5    
 30000-35000    0.0824          5    
 35000-40000    0.0810          5    
 40000-45000    0.0811          5    
 45000-50000    0.0804          5    
 50000-55000    0.0772          5    
 55000-60000    0.0769          5    
 60000-65000    0.0793          5    
 65000-70000    0.0755          5    
 70000-75000    0.0769          5    
 75000-80000    0.0739          5    
 80000-85000    0.0752          5    
 85000-90000    0.0738          5    
 90000-95000    0.0737          5    
 95000-100000   0.0703          5    
100000-105000   0.0736          5    
105000-110000   0.0690          5    
110000-115000   0.0742          5    
115000-120000   0.0592          5    
120000-125000   0.0726          5    
125000-130000   0.0713          5    
130000-135000   0.0650          5    
135000-140000   0.0616          5    
140000-145000   0.0634          5    
145000-150000   0.0566          5    
150000-155000   0.0502          5    
155000-160000   0.0677          5    
160000-165000   0.0580          5    
165000-170000   0.0577          5    
170000-175000   0.0599          5    
175000-180000   0.0661          5    
180000-185000   0.0639          5    
185000-190000   0.0550          5    
190000-195000   0.0664          5    
195000-200000   0.0593          5    
200000-205000   0.0626          5    
205000-210000   0.0659          5    
210000-215000   0.0411          5    
215000-220000   0.0578          5    
220000-225000   0.0656          5    
225000-230000   0.0621          5    
230000-235000   0.0611          5    
235000-240000   0.0513          5    
240000-245000   0.0710          5    
245000-250000   0.0602          5    
250000-255000   0.0473          5    
255000-260000   0.0618          5    
260000-265000   0.0519          5    
265000-270000   0.0576          5    
270000-275000   0.0255          5    
275000-280000   0.0568          5    
280000-285000   0.0539          5    
285000-290000   0.0506          5    
290000-295000   0.0597          5    
295000-300000   0.0424          5    

=== HardMaze  lagrange_mult=0.003  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.0959          6    
  5000-10000    0.0899          5    
 10000-15000    0.0888          5    
 15000-20000    0.0878          5    
 20000-25000    0.0873          5    
 25000-30000    0.0852          5    
 30000-35000    0.0843          5    
 35000-40000    0.0801          5    
 40000-45000    0.0781          5    
 45000-50000    0.0801          5    
 50000-55000    0.0790          5    
 55000-60000    0.0780          5    
 60000-65000    0.0768          5    
